SampleID,Q-001使用している,Q-002使用中のブランド(V),Q3_好きなところ(FA),Q4_嫌いなところ(FA),Q5_他に使用してみたいブランドの有無(V),Q5_2_他に使用してみたいブランド(V),Q6_理由(FA),Q7_年代(V),Q8_婚姻(V),Q9_ファンデーションのタイプ(V),Q10_購入場所(V),Q11_感じていること・要望など(FA)
1214,1,その他,肌へのノリがいい,あまりカバー力が無い,ある,ルティーナ,ＣＭで見て気になったから,25-29歳,既婚（子供あり）,リキッドタイプ,デパート,ちょっと割高でもいいから、自分の肌の色に合わせてオーダーメイドできるファンデーションがあればと思う
1215,1,クリニーク,少量でも伸びがよい,ない,ある,その他,現在スキンケア商品を使用しているから、メイクアップも同じものを使用してみたいから,30-34歳,既婚（子供なし）,リキッドタイプ,その他,開封してからどのくらいの期間使っていいのかよくわからない。
1216,1,その他,伸びがよくナチュラルに仕上がる事,色の種類が少なく自分の肌に合う色がないので二色を混ぜて使用しなければならないこと。,ない,,,40-49歳,既婚（子供なし）,リキッドタイプ,ドラッグストア,自分の肌に合う色を探すのが難しい。買った時は良いと思っても、外での印象が違ったりとなかなか思うファンデーションに出会えない。あらかじめ実際に試せる色見本やトライアルサイズのものが欲しい。
1217,1,レイシャス,薄づき,落ちやすい,ない,,,25-29歳,未婚,パウダリータイプ,デパート,なし
1218,1,DHC,きれいにぬれる,落ちやすい,ない,,,30-34歳,既婚（子供あり）,パウダリータイプ,ブランド専門のインターネット通信販売,洋服につきやすいのが不満。
1219,1,その他,肌になじんでもちがいい,とくになし,ない,,,35-39歳,未婚,パウダリータイプ,ドラッグストア,なかなか自分の色がみつからない
1220,1,その他,肌がきれいに見える。ファンデーションん色が気に入っている。化粧直しがいらない位長持ちする。それだけあっているということだと思う。しみが目立ちにくい。,しいて言えば、バージョンアップするたびに微妙に色に変化がある。以前の方が使用感は、好み,ある,その他,サンプルを使用したことがあるが、使用感がとてもよくやはり、人気商品だけのことはある。,50-59歳,既婚（子供あり）,パウダリータイプ,インターネット以外の通信販売,肌の色に合うファンデーションを探すのに本当に苦労している。
1221,1,プラウディア,自然,カバー力がない,ある,マキアージュ,話題なので。,20-24歳,未婚,リキッドタイプ,ドラッグストア,なし
1222,1,レイシャス,きちんとカバーしてくれるところ,特になし,ある,マキアージュ,CMみていてなんとなく興味がでたから,25-29歳,既婚（子供あり）,リキッドタイプ,大型スーパー,特になし
1223,1,セザンヌ,安くて高品質,量が少ない,ある,プラウディア,ＣＭが結構好き,35-39歳,既婚（子供なし）,パウダリータイプ,ドラッグストア,少なくなると割れやすくって使いにくいのをなんとかしてほしいです
1224,1,その他,価格が安い,ない,ない,,,30-34歳,既婚（子供あり）,パウダリータイプ,大型スーパー,ない
1225,1,オルビス,ネットで購入できるので、買いやすく届くのが早い肌にとても合う値段も手頃,残りが少なくなった時、ケ－スの隅に残ったファンデ－ションを塗るのが難しい,ない,,,40-49歳,既婚（子供あり）,パウダリータイプ,ブランド専門のインターネット通信販売,毎日、顔に塗るもの
1226,1,その他,自然派なので肌に負担をかけないところ。,お化粧する時に手が汚れる。,ない,,,30-34歳,既婚（子供なし）,リキッドタイプ,その他,肌に負担がかからなく、軽い、お化粧するのに時間がかからないようなものが欲しい。
1227,1,DHC,安価なわりには、伸びもあるし崩れにくい。いやなにおいもしない。,売っている店が少ない。通販が主体。,ある,プラウディア,ＣＭや雑誌などでの評判もよく、さほど高価でないから。,35-39歳,未婚,パウダリータイプ,ブランド専門のインターネット通信販売,自分の肌の色に合うファンデーションを見つけるのに結構苦労している。
1228,1,化粧惑星,パフが両面で違う付き方をするし、キメが細かい。,入れ物が可愛くない。,ない,,,25-29歳,既婚（子供あり）,パウダリータイプ,コンビニエンスストア,最近は付けたらキラキラするのがはやりだけど、なんだか抵抗がある。
1229,1,プラウディア,つきがよい。さらっとしている。,カバーしようとすると厚塗りになる。毛穴がかくれない,ある,SK-Ⅱ,友だちが使っていて、とても良いと勧めてくれたので一度使った。価格が高いので継続していないが、とてもよかった。,40-49歳,既婚（子供なし）,パウダリータイプ,ドラッグストア,毛穴が隠れる、目立たなくなると謳っていても、全然その効果がないので、その点を開発して欲しい。
1230,1,ファンケル,悪い物を使っていない,特にない,ない,,,30-34歳,既婚（子供なし）,パウダリータイプ,ブランド専門のインターネット通信販売,特にない
1231,1,その他,自然の成分を使っていて肌になじみやすく良く伸びる。,コンパクトケースのデザインがいまいち。,ない,,,50-59歳,既婚（子供あり）,パウダリータイプ,その他,肌の色艶を良く見せてくれる物だと思って毎日使用するので自然の成分を使ってほしい。
1232,1,その他,肌が綺麗に見える。,特にない,ある,その他,肌が綺麗に見えるらしいから。,20-24歳,未婚,パウダリータイプ,ディスカウントショップ（ドンキホーテ等）,特になし
1233,1,レヴュー,のびがいい,なし,ない,,,30-34歳,既婚（子供あり）,パウダリータイプ,大型スーパー,まんなかがすぐ減る
1234,1,レヴュー,時間をかけずに塗ってもきれいに仕上がる,色のバリエが少ない,ある,アルビオン,評判がいいから,20-24歳,未婚,パウダリータイプ,化粧品専門店,程よいツヤが持続するファンデが欲しい
1235,1,その他,粒子が細かくて肌へのノリがいい,容器が小さい,ある,ランコム,雑誌などでも評判がよいから,30-34歳,未婚,パウダリータイプ,デパート,自分の肌にぴったりの色を選ぶのが難しい
1236,1,UVホワイト,付け上がりが綺麗。,すぐに化粧直しが必要,ない,,,30-34歳,既婚（子供あり）,パウダリータイプ,ドラッグストア,子供と外出する機会が多いと、なかなか化粧を直す事も出来ない。汗にも強いようなファンデーションはないのか。
1237,1,プラウディア,きれいに毛穴も隠れてつくところ。,薄づきなのはいいけど、くずれやすい。,ある,SK-Ⅱ,性能がよさそうで肌にもここちよさそうだから。,30-34歳,既婚（子供あり）,パウダリータイプ,ドラッグストア,パウダーの最後のほうになると粉だらけになるのが改善されて、最後まできれいに使いきれるといい。季節ごとに変わるものの必要性はどの程度なのか疑問。
1238,1,ファインフィット,値段がそれほど高くない。一応カバー力が高いと言われている。,特にない,ある,マックスファクター（メーカー）,簡単なカウンセリングを受けて、良さそうだと思ったから,40-49歳,未婚,リキッドタイプ,ドラッグストア,高いものとそうでないものの違いがよくわからない。洋服に付いたら絶対に取れないようなりっきっ恕ファンデーション、顔に塗りたくってもだいじょうぶなの？
1239,1,ちふれ,安い、化粧乗りが良い,特になし,ない,,,30-34歳,既婚（子供あり）,パウダリータイプ,ドラッグストア,色は大事だと思うが、なかなか自分に合った色というのが分からずにいます
1240,1,アテニア,くずれにくい,なし,ない,,,30-34歳,既婚（子供なし）,パウダリータイプ,インターネット以外の通信販売,もっと色をあわせられたらいいのに。
1241,1,DHC,肌に合っている,特に無し,ない,,,35-39歳,既婚（子供あり）,パウダリータイプ,ブランド専門のインターネット通信販売,特に無し
1242,1,クリアエステヴェール,総合的に見ても気に入っていない…でももったいないから使ってるだけ。次は違うのを探します。唯一の利点は、崩れても綺麗に崩れるところかな。でも崩れること自体、私にはあっていないが。,薄付きすぎる。すぐ取れる。商品価値の割には高い価格。,ある,その他,女性誌で好評だし、過去に使ってみて一番相性が良かったので。,30-34歳,未婚,パウダリータイプ,ディスカウント系のインターネット通信販売,持ち運びにもっとコンパクトなタイプのものがあると嬉しいんだけとなぁ。家用に定番サイズのパクトと持ち運び用に小型サイズのパクトとがセットになって売ってたら嬉しい。更にいえば、セット価格で割安になってたらもっと嬉しい。色の試供が出来にくいのが難点。ショップに行く時間が無いので、会員制でも何でも良いから、郵送で送ってくれると有難い。
1243,1,ドクターシーラボ,"のびがいい崩れにくい美容成分が入っているので,肌に良さそう",価格が高めリキッドなので、夏場は面倒。,ある,プラウディア,CMのイメージで美肌効果がありそう価格が手ごろなイメージ,30-34歳,既婚（子供あり）,リキッドタイプ,化粧品専門店,カバー力があって、なおかつ厚化粧に見えないものがあれば是非使いたいと思う。化粧直しの手間がかからないものがあったら嬉しい。
1244,1,レヴュー,毛穴が見えにくく，つるんとした仕上がりになるところ。,特になし。,ある,マキアージュ,発売前のメイクアップセミナーに出て見て、使いやすかったから。,30-34歳,既婚（子供あり）,パウダリータイプ,ドラッグストア,本当に顔の肌にいいもので作ってほしい。
1245,1,その他,まだ、使い始めたばかりなのでよくわからない,まだ、使い始めたばかりなのでよくわからない,ある,RMK,評判がいいので,35-39歳,未婚,リキッドタイプ,デパート,値段の差がわからない
1246,1,ちふれ,安い、くずれにくい、透明感が出る、粉のきめが細かい,カバー力があまりない、乾燥する、ムラになりやすい,ある,その他,クリームタイプでネットの評判も良く、安いので。,35-39歳,既婚（子供あり）,パウダリータイプ,ドラッグストア,色の合わせ方が難しい。化粧品業界で色のガイドラインを作って欲しい。それが無理でも少なくともメーカーでは合わせて欲しい。同じメーカーの同じ色でも違うブランドを使うと色が変わってしまってはうまく選べない。
1247,1,UVホワイト,液体で、使いやすい。,残量がわかりずらい,ない,,,50-59歳,既婚（子供あり）,リキッドタイプ,ドラッグストア,小さい携帯用が欲しい
1248,1,ファインフィット,自分の肌色に合っているカラーがある。,特にない,ある,プラウディア,透明感のある仕上がりになりそうだから。,40-49歳,既婚（子供あり）,パウダリータイプ,大型スーパー,肌がきれいに見えて、なおかつ自然な仕上がりを期待します。
1249,1,ファインフィット,肌へのなじみが良く、しっとりとした仕上がり。,特にない,ない,,,20-24歳,未婚,パウダリータイプ,大型スーパー,カバー力があって、素肌のような自然な仕上がりが理想。
1250,1,セルフィット,安くて、詰め替え用にスポンジもセットされている事。日焼け止め効果（ＳＰＦ23・ＰＡ++）があること。オールシーズン使えること。コンパクトのデザインが紺色でシンプルなこと。,仕上がりにパールさがないこと。,ある,レイシャス,コンパクトが可愛いのと、ＣＭで見て仕上がりが綺麗になりそうな感じがしたので。今のファンデーションよりＳＰＦが高いから。,25-29歳,既婚（子供あり）,パウダリータイプ,ドラッグストア,パウダリーは冬は乾燥して粉っぽさが目立つ。リキッドやクリームタイプはベタベタして、その後パウダーをはたかないとテカってしまうこと。
1251,1,クリニーク,特にないけど，いつも使っているブランドだから,特になし,ない,,,30-34歳,既婚（子供あり）,リキッドタイプ,化粧品専門店,特になし
1252,1,その他,長時間化粧直しできなくても、くずれが少ない,店舗販売をしていない,ある,マキアージュ,資生堂は前から好きだし、ＣＭの印象がすごくよいから,40-49歳,未婚,パウダリータイプ,その他,顔に汗をかくタイプなので、汗につよく、しかもカバー力の強いベースがほしい
1253,1,ファインフィット,くすみをかくす,化粧くずれ,ある,プラウディア,どんな感じがしりたい,35-39歳,既婚（子供なし）,パウダリータイプ,ドラッグストア,もっと安くいいものがほしい
1254,1,その他,香料・合成色素・石油系鉱物油不使用のところ。それにのびが良くて肌にピッタリフィットして化粧崩れが少ないので気に入っています。,パウダリーと違って手が汚れるしスポンジを使うと上手には出来ないので少し面倒です。,ない,,,50-59歳,既婚（子供あり）,クリームタイプ,ブランド専門のインターネット通信販売,肌に負担が少なくて厚塗りにならずにそれでいて綺麗に仕上がり化粧崩れしないのが理想です。
1255,1,ランコム,特になし,におい,ない,,,20-24歳,未婚,リキッドタイプ,デパート,匂いがないもの
1256,1,その他,ナチュラルに仕上がるところ。,価格,ある,SK-Ⅱ,小雪の肌がめちゃくちゃ綺麗だから,30-34歳,未婚,リキッドタイプ,化粧品専門店,何度も何度も直さなくてもよいものはないかな？
1257,1,プラウディア,使いやすい,崩れやすい,ない,,,20-24歳,未婚,リキッドタイプ,ドラッグストア,崩れないのが欲しい
1258,1,その他,価格が安い。伸びがよい。,特に無し,ない,,,50-59歳,既婚（子供あり）,リキッドタイプ,大型スーパー,伸びがよく、でも洋服についても、汚れが落ちやすい商品がほしい
1259,1,UVホワイト,カバー力があるところ,他のファンデに比べ、多少値段が高いこと,ない,,,25-29歳,未婚,クリームタイプ,ドラッグストア,もっと服に付かなくなれば良いのに…。
1260,1,ルティーナ,使いやすい,伸びが悪い。ムラになる。,ない,,,20-24歳,既婚（子供なし）,リキッドタイプ,ドラッグストア,ファンデのちゃんとした塗り方使い方をレクチャーして欲しい。冊子みたいのがあるといいなぁ・・・。
1261,1,その他,無香料で肌に優しい,カバー力があまりない,ない,,,50-59歳,既婚（子供あり）,パウダリータイプ,ブランド専門のインターネット通信販売,肌に優しいカバー力のあるファンデーションがほしいです。無香料で。
1262,1,オルビス,肌に負担がなく、しっかりＵＶカットしてくれるところ,少しカバー力が足りない気がする。,ない,,,35-39歳,既婚（子供あり）,リキッドタイプ,化粧品専門店,崩れにくく、時間がたってもくすんだりよれたりしないものが理想です。
1263,1,ファインフィット,肌にあっている,特に無し,ない,,,40-49歳,既婚（子供あり）,パウダリータイプ,大型スーパー,天然商品を増やして欲しい
1264,1,レイシャス,自分にあっている,とくになし,ない,,,20-24歳,未婚,リキッドタイプ,ドラッグストア,なし
1265,1,その他,しみやそばかすを目立たなくできること。UVカットなので、紫外線から肌をまもる事ができる。他の化粧品には大抵含まれていると言われる、紫外線に当たる事で肌を老化させてしまう成分が含まれていないので、安心して使える点が特に気に入っています。,値段が少し高い。,ない,,,19歳以下,未婚,クリームタイプ,食品スーパー,もっと塗りやすいものがあればと思う。
1266,1,ファインフィット,他のに変えるのが面倒だから,特になし,ない,,,35-39歳,未婚,リキッドタイプ,ドラッグストア,もっと安くなればいい
1267,1,その他,肌にやさしい,化粧くずれ,ない,,,40-49歳,既婚（子供あり）,リキッドタイプ,デパート,もっとおとしやすいといい
1268,1,UVホワイト,只何となく,特になし,ある,その他,５０からのファンディーションと言うキャッチフレーズ,60歳以上,既婚（子供あり）,パウダリータイプ,デパート,さほど気をつけて選んでない
1269,1,その他,使いやすく、毛穴が目立たない。,くずれやすい。,ない,,,30-34歳,既婚（子供あり）,クリームタイプ,デパート,カバー力はもちろんですが、化粧直しのいらないファンデーションができたらいいです。
1270,1,その他,のびる,特になし,ある,マキアージュ,ＣＭを見て良さそうだと思ったので,30-34歳,未婚,パウダリータイプ,化粧品専門店,肌の調子で粉うきするので、いつでもきれいに見えるようなカバー力があるものを求めています
1271,1,プラウディア,化粧おちしにくい,特になし,ない,,,30-34歳,既婚（子供あり）,リキッドタイプ,デパート,化粧おちしないのが一番
1272,1,ちふれ,値段が安い割に綺麗にぬれるのでいいですね。,ないです。,ない,,,25-29歳,既婚（子供あり）,パウダリータイプ,大型スーパー,ないです。
1273,1,ドクターシーラボ,敏感肌な私にもぴったりで、ファンデーションによって肌が荒れることがない。,いいものだけに、学生にとっては少々高い。,ある,その他,KATEのマスカラやアイシャドウが気に入っているから。,20-24歳,未婚,パウダリータイプ,デパート,顔の印象を明るくしてくれる、なくてはならないもの。ただつけることで、顔の皮膚がただれるのは間違っている。
1274,1,オルビス,薄づき,むらになる,ない,,,30-34歳,未婚,パウダリータイプ,ブランド専門のインターネット通信販売,特にない
1275,1,レイシャス,自然に見える,特になし,ない,,,30-34歳,未婚,パウダリータイプ,ドラッグストア,しっかり塗ってカバーし、保湿やUVカットなどもしてなおかつ自然に仕上がるようなファンデーションが欲しい。
1276,1,エクスボーテ,肌にキレイに密着して、毛穴などをカバーしてくれるとこ。,少し値段が高いところ。,ある,CHANEL,周りの評判がいいから。,35-39歳,既婚（子供あり）,リキッドタイプ,ディスカウント系のインターネット通信販売,もっと成分にあった価格にしてほしい。
1277,1,DHC,値段が手ごろ　トラブルがない,詰め替え用がない,ない,,,25-29歳,未婚,パウダリータイプ,大型スーパー,てかりにくいものが欲しい
1278,1,花王ソフィーナ（メーカー),手ごろ価格,今ひとつ希望用途に至らない,ない,,,35-39歳,既婚（子供あり）,パウダリータイプ,大型スーパー,とくになし
1279,1,その他,化粧崩れしにくい,特になし,ない,,,40-49歳,既婚（子供なし）,パウダリータイプ,ドラッグストア,特になし
1280,1,レヴュー,カバー力があるところ,すぐに粉々にくだけてしまうこと,ある,プラウディア,友人のすすめ,30-34歳,既婚（子供なし）,パウダリータイプ,ドラッグストア,もう少し安くなってほしい
1281,1,その他,UVカット,すぐ汗でおちる,ない,,,35-39歳,既婚（子供あり）,パウダリータイプ,インターネット以外の通信販売,汗で流れないものがほしい
1282,1,その他,肌が綺麗に見える,なし,ある,その他,美容で気を遣っているメーカーで結構いいので。,40-49歳,既婚（子供あり）,パウダリータイプ,デパート,新製品が出るたびにコンパクトを買わなくてはならなくなるのは不便
1283,1,オルビス,使いやすい,肌の色と合わない,ない,,,30-34歳,既婚（子供あり）,パウダリータイプ,ブランド専門のインターネット通信販売,なし
1284,1,アーティストリー,伸びがいい。色ムラがない。肌に良い。（しっとりする）,特に無。,ない,,,25-29歳,未婚,クリームタイプ,インターネット以外の通信販売,ベタベタ感がないのが良い
1285,1,その他,しっとりする・伸びが良い,ガラス瓶に入っているので、旅行の際に持ち歩くのが面倒なこと。,ある,SK-Ⅱ,高級感がある。素肌がきれい見えそう。,35-39歳,既婚（子供あり）,リキッドタイプ,デパート,きめが整う、毛穴が目立たないなど、様々な効能がうたわれているが、あまり効果が感じられない。
1286,1,その他,値段が手ごろ見た目が自然,もっと日中長持ちしてくれるといい,ある,コーセー（メーカー）,＠コスメで評判がよかった。,40-49歳,既婚（子供あり）,クリームタイプ,大型スーパー,店頭で勝手に一人でつけさせてくれたらいい。
1287,1,クリニーク,肌にフィットする,日焼け止め効果が弱い,ない,,,25-29歳,未婚,パウダリータイプ,デパート,高い
1288,1,ドクターシーラボ,日焼け止めも入っており、自然化粧品のところがすき。,薄ずきで、毛穴が隠せないところ。,ある,その他,毛穴を隠す優秀ファンデだと聞いたので。,30-34歳,未婚,リキッドタイプ,ブランド専門のインターネット通信販売,肌をきれいに見せる、顔に悪い成分が入っていないものがいい。
1289,1,その他,漢方薬が入っている事,特になし,ある,マックスファクター（メーカー）,なんかキレイな仕上がりになりそう,25-29歳,未婚,リキッドタイプ,ドラッグストア,自然な仕上がりになるよう、頑張って化粧しているがなかなかうまく出来ないので、もっと上手になりたい
1290,1,カバーマーク,ナチュラルに仕上がる・ノリがよい,特になし,ある,コスメデコルテ,高級感がある,20-24歳,未婚,クリームタイプ,デパート,色のバリエーションがほしい・乾燥対策になるキットがほしい
1291,1,プラウディア,塗りやすい,特になし,ない,,,35-39歳,既婚（子供なし）,クリームタイプ,大型スーパー,簡単にキレイに塗れるものが欲しい
1292,1,コスメデコルテ,崩れにくく崩れ方もきれい直しやすい,色展開が少ない,ある,その他,評判がよいから,40-49歳,既婚（子供あり）,パウダリータイプ,デパート,崩れにくいものが欲しい
1293,1,その他,ナチュラルで綺麗な仕上がり,なし,ない,,,25-29歳,未婚,パウダリータイプ,化粧品専門店,毎日使う物だから　良い商品を購入し易い価格にしていただきたい
1294,1,その他,さらさらしてる,色白にあったのがなくちょっと濃い,ない,,,25-29歳,未婚,パウダリータイプ,その他,肌が呼吸しづらいような圧迫感がいや
1295,1,その他,パウダーの粒子が細かい。カラーのバリエーションが豊富,とくにない,ない,,,40-49歳,既婚（子供あり）,パウダリータイプ,デパート,パウダーの場合、残り少なくなると、割れることがある。四隅に残ったバウダーはパフにつけにくい
1296,1,その他,薄づきで、自然な色合いに仕上がる,固形なので、コンパクトの最後までしっかりと使えない。,ある,CHANEL,仕上がりの光沢感がよいと思うから。,40-49歳,既婚（子供あり）,パウダリータイプ,デパート,できるだけ薄く肌に付き、塗っているのがわからないような自然な仕上がりのあるものが欲しい。
1297,1,その他,むらなく綺麗。,若い肌ではない気がする,ある,クリニーク,肌にあまり負担がなさそうな気がする。,25-29歳,未婚,パウダリータイプ,デパート,つけたてのようなつややかな質感をずっと保てたら良いのだけど、よれてくると、スッﾋﾟンの肌より汚く感じる。
1298,1,ホワイティア,値段が安い　色が自分の肌の色に近い　どこでも買える値段のわりに仕上がりがきれい,とくにない,ない,,,40-49歳,既婚（子供あり）,パウダリータイプ,ドラッグストア,とくにない
1299,1,その他,美容液のような滑らかさ,容器が瓶で使いにくい,ない,,,30-34歳,既婚（子供あり）,リキッドタイプ,デパート,もっと細かく色分けをして欲しい。
1300,1,プラウディア,塗りごこちや肌へのつき具合が好き,落ちやすい。新製品が出ると色目が少し変わる,ある,RMK,評判がいいので。,30-34歳,未婚,クリームタイプ,化粧品専門店,たくさんの種類があるが、それぞれどれほど違いがあるものなのか？肌質やそれぞれの仕上がりの希望などもっとわかりやすくなればいいな、と思う。
1301,1,レヴュー,色あい。つけ心地,もっときれいに毛穴などかくしたい,ない,,,25-29歳,未婚,パウダリータイプ,ドラッグストア,肌をきれいにしてくれる
1302,1,その他,美白効果もあり、カバー力が優れていること、肌への負担が少ない(自分の肌に合っている)こと。,色味が少ないこと。,ある,その他,雑誌やテレビで見た使用後のモデルの仕上がりが非常に若々しくて、しかも自然に見えたので。,40-49歳,既婚（子供あり）,パウダリータイプ,ブランド専門のインターネット通信販売,美容効果が高く、短時間できれいに仕上がるものが良い。
1303,1,その他,とくになし,なし,ない,,,40-49歳,既婚（子供あり）,パウダリータイプ,その他,とくになし
1304,1,DHC,薄付き,特になし,ない,,,35-39歳,既婚（子供あり）,リキッドタイプ,ブランド専門のインターネット通信販売,しっとりさらさら、でもべたつかないファンデがあるといいと思う
1305,1,その他,エイジレスという感じがする　高級感がある,ほかとくらべてちょっぴり値段が高い,ある,SK-Ⅱ,すごく品質がよさそうに見える,40-49歳,既婚（子供なし）,パウダリータイプ,ドラッグストア,オーダーメイドで自分の肌と全く同じ色のファンデを作ってほしいです
1306,1,エクスボーテ,薄付き,高い,ない,,,30-34歳,既婚（子供なし）,パウダリータイプ,ブランド専門のインターネット通信販売,黄味よりの肌色はなかなか合う色がない
1307,1,資生堂（メーカー）,きれいにしあがる,なし,ある,その他,大手だから,25-29歳,既婚（子供なし）,リキッドタイプ,デパート,やっぱり必要不可欠なもの
1308,1,プラウディア,かぶれない,化粧くずれする,ない,,,30-34歳,既婚（子供あり）,パウダリータイプ,ディスカウントショップ（ドンキホーテ等）,洋服についたりすることがあるので困る
1309,1,その他,無添加で肌にやさしい。,特になし,ない,,,35-39歳,既婚（子供あり）,パウダリータイプ,インターネット以外の通信販売,特になし
1310,1,オルビス,下地、パウダーが要らないところ,特にない,ない,,,30-34歳,未婚,リキッドタイプ,デパート,吹き出物などがあってもたっぷりとつけても問題ない物がほしい。肌に塗ると良い成分でできているとよい。
1311,1,ルティーナ,自然な仕上がりがすき,特にない,ない,,,25-29歳,既婚（子供あり）,パウダリータイプ,大型スーパー,それぞれケースが別売りになっているが、初めからセットになっているといいと思う
1312,1,その他,自分の肌に合っているところと、つけたあとベタつかないところ,特になし。,ない,,,25-29歳,既婚（子供あり）,リキッドタイプ,インターネット以外の通信販売,特になし
1313,1,マックスファクター（メーカー）,特になし,特になし,ない,,,30-34歳,未婚,パウダリータイプ,化粧品専門店,特になし
1314,1,その他,さらっとしている,特に無い,ある,SK-Ⅱ,近々新しく変わるから,35-39歳,既婚（子供あり）,リキッドタイプ,化粧品専門店,薄くついて、のびの良いものはないかな・・・
1315,1,レイシャス,フィット感がよい,別にありません。,ない,,,35-39歳,未婚,パウダリータイプ,ドラッグストア,冬になると、乾燥肌ですので、パウダーののりが悪くなります。
1316,1,その他,薄付きなのに、カバー力がある。,特に無い。すごく気に入っている,ない,,,30-34歳,未婚,リキッドタイプ,デパート,透明感があって、自然なファンデーションを求めています。
1317,1,花王ソフィーナ（メーカー),値段も手軽で、香料も少ない,特に無い,ない,,,35-39歳,既婚（子供あり）,クリームタイプ,デパート,ない
1318,1,その他,値段がそんなに高くない。仕上がりが自然。パフが気持ちいい。,パフが洗ったら感触が変わってしまった。ケースがはげる。,ある,ランコム,アットコスメでの評価が高いから。,19歳以下,未婚,パウダリータイプ,ドラッグストア,崩れ方が汚くないファンデがよいです。
1319,1,その他,付き合い,べたっとしてるところ,ない,,,30-34歳,未婚,リキッドタイプ,その他,服につかないファンデーションが良い
1320,1,コスメデコルテ,価格が手頃（5500円）潤いがある。,カバー力不足,ある,SK-Ⅱ,CMを見て、これからの季節にぴったりだと感じた。,30-34歳,未婚,リキッドタイプ,デパート,つけたての感じが、持続すると嬉しいのですが‥。
1321,1,その他,しっとり感と自然に仕上がるところ,てかりやすい,ある,アルビオン,毛穴を目立たなくさせたり持ちが良く自然に仕上がると雑誌で見たから,35-39歳,既婚（子供なし）,クリームタイプ,デパート,自分の肌の色のカラーオーダーができるようになったら嬉しい
1322,1,その他,伸びがよく、使いやすい。,リキッドファンデーションなのでパウダーを使用しないと浮いた感じになる。,ある,その他,シミをカバーするだけでなく、ホワイトニング作用がありそうなので。,40-49歳,未婚,リキッドタイプ,デパート,付け心地が軽く、カバー力がしっかりあるものが欲しいですが、なかなか自分にあったファンデーションが見つかりません。要望としては付け心地も需要ですが成分なども気になるので、なるべく肌に良い物があればいいと思います。
1323,1,その他,リキッドで化粧崩れが少ない,カバー力と保湿力がもう少し欲しい。,ある,マックスファクター（メーカー）,決め細やかに仕上がりそうなので,40-49歳,既婚（子供あり）,リキッドタイプ,大型スーパー,年々肌のくすみがひどくなるので質のよいものを探しています。でも価格が高くなるのでなかなか思うように行きません。
1324,1,レヴュー,塗りやすい,カバー力がない,ない,,,20-24歳,既婚（子供あり）,クリームタイプ,ドラッグストア,なかなか自分に合ったファンデーションで手頃な価格のものがない
1325,1,その他,日焼け止めを別途使う必要がないところ自分の肌に合うちょうどいい色があるところ,特になし,ない,,,20-24歳,未婚,パウダリータイプ,インターネット以外の通信販売,粉っぽくならない仕上がりのものがほしい
1326,1,その他,べたつかない,なし,ない,,,40-49歳,既婚（子供あり）,クリームタイプ,インターネット以外の通信販売,肌に優しいものが欲しい
1327,1,その他,化粧崩れが汚くない,吹き出物が誘発される気がする,ない,,,25-29歳,既婚（子供なし）,パウダリータイプ,化粧品専門店,化粧直しがうまくいかない
1328,1,プラウディア,おしゃれなところ肌になじむ自分に合っている,なし,ない,,,25-29歳,未婚,パウダリータイプ,デパート,なし
1329,1,クリニーク,なじみがよい,特にない,ない,,,30-34歳,既婚（子供あり）,パウダリータイプ,デパート,ない
1330,1,オルビス,敏感肌でも安心して使えるところ,ない,ない,,,25-29歳,未婚,リキッドタイプ,ブランド専門のインターネット通信販売,自然に見える物が良い
1331,1,DHC,のりが良くて肌にいい,通販だから店で試してみることができない,ない,,,19歳以下,未婚,パウダリータイプ,ブランド専門のインターネット通信販売,地黒なのでもう少し色に種類が欲しい
1332,1,ルティーナ,肌にしっとりする,特になし,ある,プラウディア,友人がよいといっているから,30-34歳,既婚（子供なし）,パウダリータイプ,デパート,なし
1333,1,その他,手頃な価格,粒子が粗いので粉っぽくしっくりこないところ,ない,,,60歳以上,既婚（子供あり）,パウダリータイプ,大型スーパー,量の割に何処も高いのでどうしても専業主婦は安めの物を買わざるを得ないのですが、そうすると粒子が粗く品質も良くない。良く使う物ですから、安かろう悪かろうというのではなく安くても良い物を作ってもらえるともっと気安くたくさん使えるのでは。
1334,1,エクスボーテ,のびが良い,特にナシ,ない,,,30-34歳,既婚（子供あり）,リキッドタイプ,ブランド専門のインターネット通信販売,特にナシ
1335,1,その他,ニキビ肌なので専用のものを使っている,とくにない,ない,,,25-29歳,既婚（子供あり）,パウダリータイプ,ブランド専門のインターネット通信販売,ない
1336,1,マキアージュ,伸びがよくカバー力がある,ＳＰＦ値をもっと高くしてほしい。,ある,クリニーク,友人が使用していていいときいたので,25-29歳,既婚（子供あり）,リキッドタイプ,ドラッグストア,もっと色を増やしてほしい。なかなか合う色がみつからないので
1337,1,ファンケル,無香料・無添加で量が少ないので全部使い切ることが出来る。値段が安い,特になし,ある,SK-Ⅱ,テレビのCMを見て値段が高いので使ってみたい,50-59歳,未婚,パウダリータイプ,ブランド専門のインターネット通信販売,特になし
1338,1,その他,敏感肌の私でも殆どトラブルがない。お手ごろ価格。,特になし。,ある,その他,低刺激で、肌に負担がかからなそうだから。,20-24歳,未婚,リキッドタイプ,バラエティショップ,特になし
